[(2, 0.500000000000049153760292247388),
(3, 0.575693909432998803479002587164),
(4, 0.603553390593273888740565143216),
(5, 0.665673111553401129222092235181),
(6, 0.693075851914518702949434275680),
(7, 0.722133207080406932836312969729),
(8, 0.702881948861419826689151223034),
(9, 0.731210261093651275707459093832),
(10, 0.736690373924325410850665115552),
(11, 0.738995100740683353117913725839),
(12, 0.738659099802943817541940422280),
(13, 0.751589206428659516609055021011),
(14, 0.752042837818302769667772818256)]
